id,week,week_title,category,section,listed_in,reading_type,title,authors,year,source,publication_date_raw,volume,issue,pages,doi,doi_url,url,citation,notes,source_file
w05-w-007,5,"Coordination, partnerships and interdependence",wider_from_my_responses,Wider sources from my responses,my_responses_bibliography,Website,Virtual Reality Training Lab,NASA,2025,,,,,,,,https://www.nasa.gov/virtual-reality-lab-doug/,"NASA (2025). ‘Virtual Reality Training Lab’, NASA, 2 September. Available at: https://www.nasa.gov/virtual-reality-lab-doug/",Wider source cited in weekly response; not part of the university-provided reading category for this week.,MY RESPONSES.docx / compiled_weekly_reading_list.docx
w05-w-008,5,"Coordination, partnerships and interdependence",wider_from_my_responses,Wider sources from my responses,my_responses_bibliography,Website,Humanitarian Applications Using NASA Earth Observations,NASA Earthdata,2022,,,,,,,,https://www.earthdata.nasa.gov/learn/trainings/humanitarian-applications-using-nasa-earth-observations,"NASA Earthdata (2022). ‘Humanitarian Applications Using NASA Earth Observations’, NASA Earthdata. Available at: https://www.earthdata.nasa.gov/learn/trainings/humanitarian-applications-using-nasa-earth-observations",Wider source cited in weekly response; not part of the university-provided reading category for this week.,MY RESPONSES.docx / compiled_weekly_reading_list.docx
w05-w-009,5,"Coordination, partnerships and interdependence",wider_from_my_responses,Wider sources from my responses,my_responses_bibliography,Website,"Starlink internet shutdown in Sudan will punish millions, Elon Musk warned","Townsend, M",2024,,,,,,,,https://www.theguardian.com/global-development/article/2024/may/16/starlink-internet-shutdown-in-sudan-will-punish-millions-elon-musk-warned,"Townsend, M. (2024). ‘Starlink internet shutdown in Sudan will punish millions, Elon Musk warned’, The Guardian, 16 May. Available at: https://www.theguardian.com/global-development/article/2024/may/16/starlink-internet-shutdown-in-sudan-will-punish-millions-elon-musk-warned",Wider source cited in weekly response; not part of the university-provided reading category for this week.,MY RESPONSES.docx / compiled_weekly_reading_list.docx
w05-w-010,5,"Coordination, partnerships and interdependence",wider_from_my_responses,Wider sources from my responses,my_responses_bibliography,Article/Book/Report,"Problems from hell, solution in the heavens?: identifying obstacles and opportunities for employing geospatial technologies to document and mitigate mass atrocities","Wang, B.Y., Raymond, N.A., Gould, G. and Baker, I",2013,,,,,,10.5334/sta.cn,https://doi.org/10.5334/sta.cn,,"Wang, B.Y., Raymond, N.A., Gould, G. and Baker, I. (2013). ‘Problems from hell, solution in the heavens?: identifying obstacles and opportunities for employing geospatial technologies to document and mitigate mass atrocities’, Stability: International Journal of Security & Development, 2(3), article 53. doi:10.5334/sta.cn.",Wider source cited in weekly response; not part of the university-provided reading category for this week.,MY RESPONSES.docx / compiled_weekly_reading_list.docx
w05-w-011,5,"Coordination, partnerships and interdependence",wider_from_my_responses,Wider sources from my responses,my_responses_bibliography,YouTube video,Humanitarian coordination in Libya [YouTube video],Al Jazeera English,2011,,,,,,,,https://www.youtube.com/watch?v=XI-zj3AXe9s,Al Jazeera English (2011). Humanitarian coordination in Libya [YouTube video]. Available at: https://www.youtube.com/watch?v=XI-zj3AXe9s,Wider source cited in weekly response; not part of the university-provided reading category for this week.,MY RESPONSES.docx / compiled_weekly_reading_list.docx
w05-w-012,5,"Coordination, partnerships and interdependence",wider_from_my_responses,Wider sources from my responses,my_responses_bibliography,Website,At least 32 Palestinians killed in Gaza as IDF fires on crowds seeking food,"Beaumont, P",2025,,,,,,,,https://www.theguardian.com/world/2025/jul/19/gaza-israel-palestinians-killed-idf-fires-on-crowds,"Beaumont, P. (2025). ‘At least 32 Palestinians killed in Gaza as IDF fires on crowds seeking food’, The Guardian, 19 July. Available at: https://www.theguardian.com/world/2025/jul/19/gaza-israel-palestinians-killed-idf-fires-on-crowds",Wider source cited in weekly response; not part of the university-provided reading category for this week.,MY RESPONSES.docx / compiled_weekly_reading_list.docx
w05-w-013,5,"Coordination, partnerships and interdependence",wider_from_my_responses,Wider sources from my responses,my_responses_bibliography,YouTube video,"Cooper, A. (2013a). The “miserable” situation in Tacloban, Philippines [YouTube video]. Av","Cooper, A",2013,,,,,,,,https://www.youtube.com/watch?v=vfkYYPSiHv4,"Cooper, A. (2013a). The “miserable” situation in Tacloban, Philippines [YouTube video]. Available at: https://www.youtube.com/watch?v=vfkYYPSiHv4",Wider source cited in weekly response; not part of the university-provided reading category for this week.,MY RESPONSES.docx / compiled_weekly_reading_list.docx
w05-w-014,5,"Coordination, partnerships and interdependence",wider_from_my_responses,Wider sources from my responses,my_responses_bibliography,YouTube video,"Cooper, A. (2013b). Anderson Cooper defends coverage [YouTube video]. Available at: https:","Cooper, A",2013,,,,,,,,https://www.youtube.com/watch?v=FCKPoWiYK1Q,"Cooper, A. (2013b). Anderson Cooper defends coverage [YouTube video]. Available at: https://www.youtube.com/watch?v=FCKPoWiYK1Q",Wider source cited in weekly response; not part of the university-provided reading category for this week.,MY RESPONSES.docx / compiled_weekly_reading_list.docx
w05-w-015,5,"Coordination, partnerships and interdependence",wider_from_my_responses,Wider sources from my responses,my_responses_bibliography,Website,“No rules”: Gaza,"Kelly, A., Osman, H. and Jallad, F",2025,,,,,,,,https://www.theguardian.com/global-development/2025/feb/25/israel-gaza-doctors-surgeons-healthcare-detention-international-law,"Kelly, A., Osman, H. and Jallad, F. (2025). ‘“No rules”: Gaza’s doctors say they were tortured, beaten and humiliated in Israeli detention’, The Guardian, 25 February. Available at: https://www.theguardian.com/global-development/2025/feb/25/israel-gaza-doctors-surgeons-healthcare-detention-international-law",Wider source cited in weekly response; not part of the university-provided reading category for this week.,MY RESPONSES.docx / compiled_weekly_reading_list.docx
w05-w-016,5,"Coordination, partnerships and interdependence",wider_from_my_responses,Wider sources from my responses,my_responses_bibliography,YouTube video,Coordinating Syrian humanitarian relief aid: the UNHCR [YouTube video],New Europe,2015,,,,,,,,https://www.youtube.com/watch?v=O8s9m3Mhez0,New Europe (2015). Coordinating Syrian humanitarian relief aid: the UNHCR [YouTube video]. Available at: https://www.youtube.com/watch?v=O8s9m3Mhez0,Wider source cited in weekly response; not part of the university-provided reading category for this week.,MY RESPONSES.docx / compiled_weekly_reading_list.docx
w05-w-017,5,"Coordination, partnerships and interdependence",wider_from_my_responses,Wider sources from my responses,my_responses_bibliography,YouTube video,"Walter, D. (n.d.). Military contribution [YouTube video]. Available at: https://www.youtub","Walter, D",,,,,,,,,https://www.youtube.com/watch?v=6EeILsAMF6I,"Walter, D. (n.d.). Military contribution [YouTube video]. Available at: https://www.youtube.com/watch?v=6EeILsAMF6I",Wider source cited in weekly response; not part of the university-provided reading category for this week.,MY RESPONSES.docx / compiled_weekly_reading_list.docx
w05-w-018,5,"Coordination, partnerships and interdependence",wider_from_my_responses,Wider sources from my responses,my_responses_bibliography,YouTube video,Humanitarian coordination [YouTube video],warinsouth,2009,,,,,,,,https://www.youtube.com/watch?v=Y09ygs2Cdjg,warinsouth (2009). Humanitarian coordination [YouTube video]. Available at: https://www.youtube.com/watch?v=Y09ygs2Cdjg,Wider source cited in weekly response; not part of the university-provided reading category for this week.,MY RESPONSES.docx / compiled_weekly_reading_list.docx
w06-u-049,6,"Futures, forecasting, abundance and scarcity",uni_provided_core,Core reading,university_course_reading_list,Website,Abundance: The Future is Better than you Think,"Diamandis, Peter; Kotler, Steven",2012,Free Press,2012,,,"xi, 386 p. :",,,http://www.aberdeeninvestment.com/wp-content/uploads/2009/11/Abundance_Future-Better-than-you-Think-Chapter_1.pdf,"Diamandis, Peter; Kotler, Steven (2012) Abundance: The Future is Better than you Think. Website Free Press Available at: http://www.aberdeeninvestment.com/wp-content/uploads/2009/11/Abundance_Future-Better-than-you-Think-Chapter_1.pdf",,Full-reading-list-leadership-management-in-health-humanitarianism.csv
w06-u-050,6,"Futures, forecasting, abundance and scarcity",uni_provided_core,Core reading,university_course_reading_list,Website,"Plenty to Go Around. ‘Abundance,’ by Peter H. Diamandis and Steven Kotler","Gertner, Jon",,,,,,,,,http://www.nytimes.com/2012/04/01/books/review/abundance-by-peter-h-diamandis-and-steven-kotler.html,"Gertner, Jon Plenty to Go Around. ‘Abundance,’ by Peter H. Diamandis and Steven Kotler. Website Available at: http://www.nytimes.com/2012/04/01/books/review/abundance-by-peter-h-diamandis-and-steven-kotler.html",,Full-reading-list-leadership-management-in-health-humanitarianism.csv
w06-u-051,6,"Futures, forecasting, abundance and scarcity",uni_provided_core,Core reading,university_course_reading_list,Website,Improving Global Health: ForecastIng the Next 50 Years,B Hughes,2011,,2011,,,,,,https://www.researchgate.net/publication/262144212_Improving_Global_Health_Forecasting_the_Next_50_years,B Hughes (2011) Improving Global Health: ForecastIng the Next 50 Years. Website Available at: https://www.researchgate.net/publication/262144212_Improving_Global_Health_Forecasting_the_Next_50_years,,Full-reading-list-leadership-management-in-health-humanitarianism.csv
w06-u-052,6,"Futures, forecasting, abundance and scarcity",uni_provided_core,Core reading,university_course_reading_list,Website,Can Silicon Valley save the World?,"Kenny, Charles",2013,,2013,,,,,,http://foreignpolicy.com/2013/06/24/can-silicon-valley-save-the-world/,"Kenny, Charles (2013) Can Silicon Valley save the World?. Website Available at: http://foreignpolicy.com/2013/06/24/can-silicon-valley-save-the-world/",,Full-reading-list-leadership-management-in-health-humanitarianism.csv
